symbol,mfe_r,mae_r,missing,net_pnl,group
HD,2.37569060773481,0.13259668508286207,False,479.68465000000185,winner
VZ,1.2162162162162322,0.9459459459459372,False,-4.2292599999994565,loser
COST,2.2731958762886753,0.0309278350515476,False,284.4803500000029,winner
F,0.6538461538461429,0.6538461538461565,False,-130.57110750000112,loser
CAT,0.2927927927927827,1.013513513513514,False,-191.6023199999999,loser
AAPL,0.12780487804876958,1.2682926829268124,False,-169.85869500000223,loser
T,0.4090909090909135,0.7727272727272595,False,-100.77122000000082,loser
XLY,0.723404255319158,1.0212765957446919,False,-140.6846999999997,loser
LULU,0.7069825436408943,0.9663341645885308,False,-206.4211249999993,loser
GILD,0.039746835443043964,0.6455696202531479,False,-118.46527499999976,loser
MO,0.13461538461537254,0.4542307692307936,False,-64.7925100000008,loser
FCX,2.1041666666666763,0.5416666666666661,False,445.9963200000004,winner
UPS,2.1007194244604004,0.9712230215827194,False,256.73967000000016,winner
AMD,0.5881294964028844,1.4693525179856113,False,-202.8957517999977,loser
SOXX,0.6338797814207764,1.5464480874317066,False,-196.8739199999993,loser
ABBV,0.11148648648648188,1.0,False,-184.0697599999989,loser
GOOGL,0.048387096774195025,1.0604838709677322,False,-245.2803900000017,loser
GLD,1.950161290322577,0.1788709677419127,False,16.78155049999909,winner
KHC,0.8666666666666683,1.1000000000000048,False,-155.7337399999987,loser
PFE,1.018518518518528,0.03703703703702973,False,20.6222699999998,winner
ISRG,4.795955882352999,0.7389705882352988,False,380.2260049999993,winner
ISRG,1.3422818791946398,0.49440715883668773,False,27.756960000003,winner
NET,0.14457831325301354,1.1204819277108453,False,-600.8137199999989,loser
PG,0.11320754716981536,0.8490566037735885,False,-124.20446500000176,loser
IBB,0.45751633986927326,1.2941176470588345,False,-221.65846500000012,loser
BA,2.2423148148147902,0.46601851851852244,False,432.2252831999997,winner
MRK,0.11290322580643979,1.008064516129025,False,-120.61005000000075,loser
KHC,0.32258064516129253,0.90322580645161,False,-146.24000000000052,loser
CVX,1.9402173913043406,0.25543478260869457,False,142.40368000000024,winner
KO,0.2941176470588309,1.0294117647058978,False,-115.87050999999894,loser
NEM,0.6166666666666609,1.116666666666667,False,-228.78472000000085,loser
BAC,2.562500000000063,0.2500000000000148,False,303.0436825000016,winner
VZ,2.0740740740740584,0.7777777777777719,False,233.2096999999996,winner
GLD,4.528301886792454,0.20679245283018893,False,127.48374000000246,winner
CRM,0.14838709677418857,0.24516129032259876,False,-68.45356000000062,loser
GE,0.21428571428572155,0.8,False,-131.10054999999917,loser
CRM,0.7196261682242904,1.070093457943914,False,-300.636600000002,loser
ORCL,1.5465116279069924,0.20116279069766013,False,29.608760000002853,winner
FCX,0.0,0.5833333333333344,False,-106.60822499999894,loser
T,0.1521739130434786,1.652173913043471,False,-185.9246799999997,loser
BX,2.2459016393442717,0.34426229508195727,False,612.1003350000009,winner
